DisplayName,NewApp
FileZilla Client 3.28.0,FileZilla
FileZilla Client 3.29.0,FileZilla
FileZilla Client 3.3.3,FileZilla
FileZilla Client 3.30.0,FileZilla
FileZilla Client 3.32.0,FileZilla
FileZilla Client 3.33.0,FileZilla
FileZilla Client 3.34.0,FileZilla
FileZilla Client 3.35.2,FileZilla
FileZilla Client 3.36.0,FileZilla
FileZilla Client 3.37.1,FileZilla
FileZilla Client 3.37.3,FileZilla
FileZilla Client 3.38.1,FileZilla
FileZilla Client 3.39.0,FileZilla
FileZilla Client 3.40.0,FileZilla
FileZilla Client 3.5.3,FileZilla
FileZilla Client 3.7.3,FileZilla
FileZilla Client 3.8.1,FileZilla
FileZilla Client 3.9.0.5,FileZilla
FileZilla Client 3.9.0.6,FileZilla
Find Orb,Find Orb
Firefox Developer Edition 62.0 (x64 en-US),Mozilla Firefox
Firefox Developer Edition 64.0 (x64 en-US),Mozilla Firefox
Firefox Developer Edition 66.0 (x64 en-US),Mozilla Firefox
FITS Liberator 3.0.1,FITS Liberator
FL CS6 v12.0.2 x64,Adobe Flash Pro
Focusky 3.7.4,Focusky
Focusky 3.7.7,Focusky
Free Stopwatch,Free Stopwatch
FreeCAD 0.17 - A free open source CAD system,FreeCAD
FreeOCR v5.4,FreeOCR
FW CS6 v12.0.1 x64,Adobe Fireworks
G Suite Migration For Microsoft Outlook® 4.0.114.0,G Suite Sync - Office 2019 x64
G Suite Migration For Microsoft Outlook® 4.0.117.0,G Suite Sync - Office 2019 x64
G Suite Sync™ for Microsoft Outlook® 4.0.14.0,G Suite Sync - Office 2019 x64
G Suite Sync™ for Microsoft Outlook® 4.0.15.0,G Suite Sync - Office 2019 x64
G Suite Sync™ for Microsoft Outlook® 4.0.17.0,G Suite Sync - Office 2019 x64
G Suite Sync™ for Microsoft Outlook® 4.0.19.0,G Suite Sync - Office 2019 x64
G Suite Sync™ for Microsoft Outlook® 4.0.7.0,G Suite Sync - Office 2019 x64
G Suite Sync™ for Microsoft Outlook® 4.0.9.0,G Suite Sync - Office 2019 x64
